Week	Slot	Lane 1	Lane 2	Lane 3	Lane 4
1	Early 1	10 v 12	1 v 4	15 v 6	7 v 3
1	Early 2	10 v 4	1 v 12	15 v 3	7 v 6
1	Late 1	9 v 8	14 v 11	13 v 16	5 v 2
1	Late 2	9 v 11	14 v 8	13 v 2	5 v 16
2	Early 1	1 v 6	2 v 8	12 v 13	9 v 14
2	Early 2	1 v 8	2 v 6	12 v 14	9 v 13
2	Late 1	10 v 5	3 v 16	15 v 7	4 v 11
2	Late 2	10 v 16	3 v 5	15 v 11	4 v 7
3	Early 1	4 v 5	7 v 13	3 v 11	16 v 14
3	Early 2	4 v 13	7 v 5	3 v 14	16 v 11
3	Late 1	6 v 9	2 v 1	12 v 10	8 v 15
3	Late 2	6 v 1	2 v 9	12 v 15	8 v 10
4	Early 1	3 v 15	10 v 2	8 v 4	12 v 6
4	Early 2	3 v 2	10 v 15	8 v 6	12 v 4
4	Late 1	11 v 14	5 v 13	1 v 16	7 v 9
4	Late 2	11 v 13	5 v 14	1 v 9	7 v 16
5	Early 1	16 v 10	14 v 12	7 v 11	1 v 8
5	Early 2	16 v 12	14 v 10	7 v 8	1 v 11
5	Late 1	5 v 2	6 v 15	4 v 3	13 v 9
5	Late 2	5 v 15	6 v 2	4 v 9	13 v 3
6	Early 1	7 v 9	16 v 1	5 v 13	15 v 14
6	Early 2	7 v 1	16 v 9	5 v 14	15 v 13
6	Late 1	2 v 4	12 v 3	6 v 10	11 v 8
6	Late 2	2 v 3	12 v 4	6 v 8	11 v 10
7	Early 1	11 v 6	4 v 3	10 v 9	2 v 15
7	Early 2	11 v 3	4 v 6	10 v 15	2 v 9
7	Late 1	14 v 1	13 v 7	8 v 16	12 v 5
7	Late 2	14 v 7	13 v 1	8 v 5	12 v 16
8	Early 1	5 v 11	13 v 6	2 v 7	8 v 12
8	Early 2	5 v 6	13 v 11	2 v 12	8 v 7
8	Late 1	15 v 4	9 v 16	3 v 10	1 v 14
8	Late 2	15 v 16	9 v 4	3 v 14	1 v 10
9	Early 1	13 v 8	9 v 14	4 v 16	5 v 1
9	Early 2	13 v 14	9 v 8	4 v 1	5 v 16
9	Late 1	3 v 7	10 v 6	11 v 12	15 v 2
9	Late 2	3 v 6	10 v 7	11 v 2	15 v 12
10	Early 1	14 v 7	11 v 15	16 v 6	4 v 2
10	Early 2	14 v 15	11 v 7	16 v 2	4 v 6
10	Late 1	13 v 12	8 v 10	5 v 1	3 v 9
10	Late 2	13 v 10	8 v 12	5 v 9	3 v 1
11	Early 1	9 v 15	5 v 12	1 v 10	3 v 13
11	Early 2	9 v 12	5 v 15	1 v 13	3 v 10
11	Late 1	8 v 4	11 v 16	7 v 6	14 v 2
11	Late 2	8 v 16	11 v 4	7 v 2	14 v 6
12	Early 1	2 v 8	3 v 16	9 v 5	10 v 11
12	Early 2	2 v 16	3 v 8	9 v 11	10 v 5
12	Late 1	12 v 7	15 v 1	14 v 4	6 v 13
12	Late 2	12 v 1	15 v 7	14 v 13	6 v 4
